userName,content,score
Teguh Budi H,respon cepat,5
vivozakir,"aplikasi TOLOL !!!, makannya bikin APK anggarannya jangan di KORUP 🤮🤮🤮",5
Sutikno,sangat membantu,5
Azri Muhammad Ikram,"ribet, kalau terlewat ambil antrian, rujukan langsung ilang, mau batalkan antrian kagak bisa, hasilnya daftr pangsung ke rs,",1
Alfatih Rega abdi a,sangat bagus,5
Okta Viana,ayo dong kenapa aplikasi nya di buka balik lagi aja,5
Matius Victory,aplikasi yang sangat buruk,1
Maulana Harahap,gak bisa buka app password akun udah benar,5
Dafi Murtado,"bego amat lah aplikasi nya, jaringan lancar tapi tetep dianggap gangguan",1
Paku Beton,ini aplikasi kesehatan yg membuat orang sakit karena bolak balik login gak bisa,1
Tu Rini,sangat membantu,5
Sugeng Supoyo Sidomoro,Siip,5
Yohana Kornelia,"tolong di perbaiki aplikasinya, Kode OTP nggak masuk gimna mau daftar 😏",1
Yulis Juhar,"aplikasi korupsi, otp aja engga bisa, anggaran aja di gedein. kasian anak magang ngerjain aplikasi ini",1
Burhanudin ADDailami,Alhamdulillah bagus dan manfaat,5
Riki Rahman,bagus,5
Trisno Rumpalangi,Sangat membantu dimana saja,5
Abdurrahim Tongani,akses mudah,5
Vic Mercs,Jos jiss,5
Aulia Naomi,"Gimana sih orang mau masuk ke akun malah gabisa bisa!! udah daftar dan bener semua nik serta pasword, malah ttp aja gabisa",2
Liliana Anderson,"aplikasi gajelas, suka tiba-tiba keluar akun sendiri",1
Sutresno O,succes,5
Valen Dari tadi,Aplikasi gajelas,1
Indah Koto,aplikasi susah daftar gak bisa masuk tolong kepada pembuat aplikasi coba dibuat fitur dimudahkan mendaftar dari tadi gak bisa masuk masuk,1
chelynnia 101222,"sering log out dan pasword salah mulu,, padahal pasword dah benar,,,",2
Rahma Sadiya Goenadi,"aplikasi nya sangat buruk, di minta skrining kesehatan terus, setelah di isi malah ga mau kesimpan, akhirnya ga bisa daftar karena belum isi skrining. padahal sudah di isi tapi ga bisa di konfirmasi sama aplikasi nya.",1
Asriadi Abbas,oke mantap,5
M _Jennie0221,"sialan udah banyak yang protes tetep gak dibenerin, kerja yang bener dong",1
Risti Maya,"logout sendiri, mau login susah. sudah dimasukin data dgn bener gamau login, mau periksa jadi kesusahan kalo kaya gitu mah",1
Sinar1 Sinaeowowo,"saya sudah melakukan pengkinian data untuk email dan no tlpon, tapi masih belum bisa login tolong dong ini gimana",5
Alfi Naturaworld Naturaworld,susah buka aplikasi,5
Sergio Gio,lebih mudah dan tak perlu mengantri,5
afrizal restu sukasa,BIKIN SUSAH ORANG Pemindahan faskes 3 bulan saat orang butuh bikin susah..!,1
Aslam Nasution,alhamdulillah terbaik,5
Djunaedi Saleh,nice,5
Sania Nia,dengan menggunakan aplikasi JKN semua jadi sangat mudah,5
Tri Rahmayanti,"kenapa ga bisa masuk yah, NIK nya salah mulu.",3
Adit Tya,trimaksih untuk jkn,5
hemmy xu,"kenapa mau login jkn, muncul suruh autodebit terus, pilih batal malah balik ke situ2 aja ga bs login , org ga mau autodebit masa di paksa , aplikasinya koj ga jelas",2
abdulfatah ash shiddiq,mempersulit download aplikasi ini.nyesel sy habisin kuota sj,1
YAMAHA Semakin depan,"Aplikasi bodong , sampah,lebih bagus aplikasi judoll,menyulitkan hidup! Aplikasi aneh, kode OTP SMS gak masuk masuk, padahal kuota ada, pulsa ada tetap gagal terus. Mana kalau ke RS wajb banget daftar Mobile JKN dulu lama-lama makin parah sakit gegara daftar berkali-kali gak bisa. Kadang juga ambil gambar wajah a ja bisa gagal, heran!",1
Sheila Gevania,"susah bgt sandi salah Mulu padahal udh bener , bukannya mempermudah malah mempersulit",1
Zainal Mutaqin,aplikasi bagus cuma tidak bisa top up atau bayar ketika terlambat/kelupaan pembayaran secara pribadi mohon bantuannya bapak/ibu admin,4
Badru Tamam,"sebenarnya udh liat ulasan dengan kode verifikasi ga dikirim"" dan nyoba bener aja ga dikirim"" ngapain coba bikin aplikasi kalau kaga guna",1
miftachul hudaa,"BIAR DI BACA, MAIN POTONG"" AJA, MANA UDAH GA PERNAH MAKE APK INI, MANA AMBIL SALDO ORANG LANGSUNG HAMPIR SEJUTA LAGI, APK APA INI?",5
Ade Irma,"ini kenapa sih kode sms nya gak masuk2? alasannya koneksi internet, padahal udah gantian pakai wifi terus paket data tetap aja gak masuk. mau daftar online rumah sakit jadi gak bisa. ada kali 10x ngulang gak bisa. gak jelas",1
Candidus Myel,tim ga guna semua... masa buat login aja susah setengah mati jam sibuklah apa lah emang kampret .. ini yg katanya mau jadi indonesia emas 2045 mimpi...,1
H_Adinda Putri Larasati,"aplikasi jelek, error terus, daftar ke dokter jadwalnya beda sama aslinya, bahkan mau daftar aja dipersulit, katanya bisa daftar tanpa antri tapi daftar berkali2 aja gabisa, alesannya macem2 tapi selalu muncul notif tidak dapat mendaftar karena hal tertentu, sewa anak Ilmu Komunikasi sana biar codingannya dibenerin lagi, aplikasi pemerintah tapi ga profesional",1
Annisa maharani,"perbaiki lagi dah sistemnya, ini gw jam 03.16 lagi ovt karna rujukan gw tiba tiba ilang",3
Hary,mantap,4
Ni Murniyati,terbaik,5
Lalu Muhammad,aplikasinya bagus mudah dioperasikan,5
Sofyan M,JKN memang mantap,5
Zahra Olivia,"apk dongok, kirim otp pake kirim sms dulu yg",1
Mirandaa Fatasya,"gila mau daftar aja di pesulit, gunanya bikin aplikasi buat apa? kalo emg kode nya ga bisa²ya diperbaiki dong. kalo emg ga diperbaiki ya ga guna di playstore buat apa juga bikin kalo dipersulit!",1
Pungki Putri,"hi halloo bisa2 nya kudu update lagi update lagi, bosan gue.. dikit2 update dikit-dikit update kenapa mesti begitu???????????",1
Anisa Ummah8918,mantap,5
Farid S,sangat sangat membantu,5
Me Who?,kode verifikasinya lambat banget,1
Adyuta Astrella kp,"padahal no nya dah bener,kenapa otw nya gamasuk!!!!",1
Sunny Manggala,"overall jelek, aplikasi broken. banyak fitur malah menyusahkan. mau buat akun baru verivikasi wajah sulit, apalagi untuk anak dibawah 17 tahun yg tidak bisa verivikasi wajah. dan dihilangkannya verivikasi via WhatsApp malah menyusahkan untuk buat akun, dan saat lupa kata sandi, jadi harus beli pulsa dulu. Dan untuk login harus berkala, menyusahkan yg lupa kata sandi seperti mamula. aplikasinya pun sering error, estimasi berobat dengan jadwal dokter di RS sering berbeda. payah.",1
Dika Sempu,👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,5
Isti Qomariyah,membantu sekali,5
Muhammad Faizan,otp tidak masuk,1
Isman Azi,bagus,5
Ahmad Dani,"gak ngerti lagi sama apk ini,masa ngirim kode otp pke nomer yg msh aktif di hp ga ke krim trus,trus aku coba pek hp ortu pke nomer ortu tetep ga msuk otp nya ini mksdnya apasi???bnrin dong tolong nnti kalo udh bnr aku ksih bintang 5",1
Fikri Hafidz Khoirunnas,"Daftar autodebet gagal mulu notifnya, padahal notif sms dari bca berhasil. ini beneran bug atau emang akal-akal oknum bpjs yang kaya dajjal bin maruk duit?",1
Azka Albirru,aplikasi jelek kebanyakan error,1
Sunarti 09,apk taikk,1
Wisnu Adjinugroho1983,sangat cocok untuk berobat,5
elsya fira,"perbaiki dong aplikasinya masa nomor telpon kode otp nya ga masuk masuk, padahal kuota lancar pakek wifi lancar, nomornya udah benar, penyimpanan masih banyak, masa ga di kasih. anehhh banget bikin kesal",1
Aman Fuji,mantap,5
TOFIKIN,verifikasi ngga bisa2 aneh....tolong di perbaiki,1
r1n Aja,apk aneh verif muka kagak bisa bisa apa suruh diganti semuka mukanya??? pecat progamernya gak becus,1
Christian halim,aplikasi sampah. eror terus harus jaringan 10G baru bisa konek.. aneh sungguh aneh...!!!,5
Andi Alpha,"oke,dan simpel serta canggih.",5
Khoirulikhsan Ikhsan,aplikasi bagus prosesnya cepat dan menunya lengkap,5
Dedy Hardianto,aplikasi nya bagus dan bermanfaat,5
Chicla Official,"hilangin tampilan waktu estimasi, ganti sama jam praktik dokter, waktu estimasi ga guna",1
Din Laia,sangat baik dan bermanfaat sangat lebih cepat pokoknya mantap dahh,5
Miliela Dreamwoman,MINIMAL KAMERANYA DI BENERIN BIAR GAK MIROR,1
Wenk dawenk,apk menyulitkan.. apk taii ahh,1
Seissy Fransy,aplikasi terbaik.. sangat membantu jika ada perubahan apa apa lewat online gampang.. mantap,5
Fedriansyah,"program pemerintah nyusahin, ga kepake tapi tiap bulan bayar dan susah menonaktifkan autodebet",1
Iman Nurhakim,bagus,5
Aruda San,tolong perbaiki karena verifikasi pakai no hp tidak ada pilihan apa2 kosong cara verifokasinya apakah via wa atau sms. ini tampilan kosong,1
Lena Noviani,kenapa sih setiap mau memperbarui nomer handphone tapi selalu gak bisa. dan kode OTP nya gak pernah ada. aneh banget aplikasi gak jelas,1
Febyan Rahmat Setiawan,"dear Mobile JKN, kapan PERBAIKAN SISTEM nya selesai?",5
Ridwan Ahmad,bagus,5
Dedy Lesmana,paraaah,1
mhd syafii,mantap sangat membantu,5
FF_ KUR4MA,"aplikasi bobrok sms ditungguin sampai bulan purnama pun ngga muncul,bikin susah!",1
Andrye Andrye,"aplikasi mobil JKN,dah ngurus ke rumah sakit,puskesmas,RT/RW.kelurahan,ke camatan ga aktif aktif BPJS nya,parah bnget ini aplikasi",1
muhammad hasan,aplikasi kuntul,1
Neriyani,Alhamdulillah,5
Fredesko Aditya darma,leg parah,3
0m gotex,sering erorr...masuk login susah.,2
Wahyu Df,"parah udah berobat dan udah di layani tapi di keterangan belum, jadi susah untuk ambil daftar antrian online lagi karna yang sebelumnya nya belum selesai di layani, makin canggih teknologi malah makin susah",1
Rhina Karim,"aplikasi sering error, suka keluar sendiri,,, mohon segera di perbaiki...",2
De Jimat Ajimaya Ciptawati,sangat membantu dan mempermudah layanan kesehatan,5
Putri Sabrina,"tiba tiba log out pas mau log in gabisa bisa, ""permintaan anda belum dapat di proses, silakan coba beberapa saat lagi"" kenapa ya?",1
Enjel Lika,mempermudahhhh,5
Ocha TyaZ,"aplikasi aneh masa anakku pbi di non aktifkan,padahal cuman ubah kk baru.",2
Anwar Prawira,mau daftar aj susah...bolak balik dimasukkan no nik ktanya salh.pdhl SDH benar..blasan otp jg GK respon..mlh muter2..ni aplikasi bikin orang mumet.bkn tambh mudah...jelek...,1
syafik saputa aprian,"aplikasi bukanya mempermudah,malah ribet..perkara login aja susah. banyak eror.",1
Agus Trisaputro,tetap tingkatkan pelayanan,5
OweN 86,aplikasi taik.. mau daftar aja di persulit padahal KTP jg sudah e KTP... knp sulit sekali masuk.....?,1
Irwań Jr.,"aplikasi gak jelas, daftar aja dipersulit, minta nomor hp, tapi gak bisa buat login , konyol",2
Roni Setia Budiman,bagus,5
Rahwi jah,Sangat membantu,5
refandi “fandi” lope lope,amat membantu,5
Syarip Hidayat,aplikasi cacat mau periksa harus online giliran skrining malah kagak bisa jadi kagak bisa periksa keklinik..,1
Ririn Shnadira89,tiap klik mau autodebit selalu suruh masuk ulang 😓,4
Said Ahmad,"giliran bayar gercep, tidak bisa akses urusan manfaat belakangan yg penting tagihan selalu lancar 😅",2
Nopi Saputra,menusahkan orang kode otp tidak ke kirim kirim,3
Nika Lestari,mantap jiwa sedunia,5
Nanang Bahrum,"Tolong perbaiki sistem aplikasinya, menyulitkan pengguna aplikasinya",1
Fatimah Imah,pelayanan sangat baik ramah dan memuaskan..trmksh,5
mulyana honje,alhamdulillah jkn nya udah aktif lagi semoga memudahkan disaat kita membutuhkan,5
Doak Tegar,bagus mantap,5
Syahrul Masran,memuaskan,3
Istikomah,"bisa gak mobile jkn itu dipermudah untuk setiap aksesnya. ingin ganti sandi saja verifikasi melalui sms nya dipersulit. jika dipersulit begini, yg ada pasien bpjs keburu sekarat sebelum ditangani. masalahnya ditempat saya diwajibkan menggunakan bpjs, dan umum ditolak karna RS disini bekerja sama dengan bpjs",1
hardianti hasnur,"saya mau skrining anak saya kenapa selalu eror shi, usia anak saya 4 bulan giliran saya isi berat badannya di bilang kurus padahal itu sudah agak bagus, masa 5,6 di bilang kurus",4
Iman Gusman,"sangat mudah digunakan, semua info sudah tersedia lengkap",5
Vicky Siswanto,"aplikasi buat daftar koq gak masuk2 kode verifikasi, aplikasi koyo entut",1
Bima Surya Ramadhan,"aplikasi yg sangat sangat sangat menyulitkan. 2jam coba daftar di RS gak bisa2 krn gak dpt kode otp sms, sangat menyulitkan sekali gak berguna.",1
Marji,sangat suka sekali memakai jkn mobile,5
mdandi dandi,apk ga jelas kaga bisa daftar mulu gajelas tolol,1
Tomi Ra,"saat verifikasi kode autentikasi saat daftar ,untuk dapat pesan kode tsb harus ada pulsa minimal 1600,, semoga kedepan benar2 gratis",5
Harjiyo,".. ,,,,,,,,,",4
Kasman yusuf,mantapppp bisa berobat disini,5
ndie tea,"ini gimana sih setelah update gak bisa masuk lagi,no nik udah benar tapi disalahkan",3
KISWANTO,"ribet sekarang,kemaren masuk gak harus daftar auto debit,sekarang wajib daftar auto debit,makin ribet , jadi hapus lagi jkn nya",3
Kariem Gan,baik,5
GIZI RADJAK HOSPITAL CIBITUNG BEKASI,Good FGD nya,5
Den Mario's 427,semoga bermanfaat dan lebih baik,5
Riyan Nayz,"mau berobat ganti faskes karena faskes lama sudah tutup, harus nunggu dulu 1 bln, kocak",1
Lusi Ana,sangat cepat memuaskan bagus.. gk usah cape cape ke kantor bpjs.. cukup pakai aplikasi mobile jkn,5
Nofri Jo,cepat mudah,5
fittri handayani,bagus,5
Nurnashriana Jufri,user friendly,5
Vincent Mitapurnawan,mantap,5
Padil Bumbum,"apk tolol, pokok kalo punya negara pasti ribet, udah dimasukin ssuai sandi masih aja salah, dri negara ga ada yg bner",1
Oskar Boimata,bagus,5
agil tri wahyuni,terimakasih,5
Saprudin Lapoy,sangat membantu aplikasi jkn,5
Alba Kawar,"kenapa sih harus RW sama RT diisi? saya merantau dan desa saya memang tidak pakai RT RW, mau ambil antrian ribet, sedangkan saya kepepet kuliah",3
Azizah Dgshdn,"sistem bobrok gak pegawe gak aplikasi sama"" bobrok taunya hanya uang uang dan uang 🙊🙊🙊🙊",1
Rahmat Re,"sudah beberapa hari saya tidak bisa membuka aplikasi ini dengan keterangan offline offline,fungsinya apa aplikasi ini kalau tidak bisa di buka mau saya hapus saja",1
Azzahra Nur saila,sangat membantu,5
Dicka Tricahyo,"Mohon tingkatkankan dengan upgrade2 yang belum tersedia layanan kesehatan pada faskes yang akan di pilih, ketika mau log in lagi secara tiba-tiba log out dengan Sendirinya",4
Sehat Barokah,mantap,5
Dimas Kurniawan,"saya kurangi bintangnya,makin nggak jelas antrian pengambilan obat",1
Aisyah Shabira,terima kasih ganti faskes jadi gak perlu repot repot ke kantor bpjs nya,5
Eros Roma,pendaftaran dipersulit,5
Annis Annasya,pelayanan terbaik,5
Vebby Laurin,"AKU JUGA MAU KASI BINTANG 5 AJA!!! BIAR DIBACA!! KENAPA SELALU LOG OUT!!!!!! Kalau saya sendiri yang menggunakan gak masalah, saya hapal pass dan hapal nik. Tapi gimana dengan ORANG TUA/ LANSIA. Mayoritas yang berobat itu orang tuaa!!!!!!! Ga semua dari mereka paham teknologiii. kasian mereka, mau berobat aja ribett!!! TOLONG DIPIKIRKAN LAGII!!!!!!",5
Frida Rs,mempermudah proses berobat dengan pengambilan nomor antrian... terimakasih JKN🥰😍✌️🫰😇,5
Lian Erdiani Lia,yah puas meski terka dang darting karna sering loding,5
Titi Marwati,"tolonglah yg ramah orangtua, verifikasi mestinya bisa menggunakannya kamera belakang, supaya bisa dibantu anak. susah sekali verifikasi wajah. tulisan bawah nya kecil pula, pakai kacamata ga boleh...",3
via putri02,"KENAPA HARUS PAKAI PULSA SEGALA, GILIRAN PULSA UDAH ADA, KODE OTP GA MASUK, CAPTCHA SALAH, PULSA BERKURANG, MAU NYA APA SIH, BIKIN APLIKASI BUKAN MEMPERMUDAH MALAH JATOH NYA MEMPERSULIT",1
Ahmad Zaelani,sangat membantu sekali,5
Aswangga,Aplikasi menolak registrasi nomor telepon,1
Sarfian Fian,aneh padahal nomor HP sesuai tapi kode otp nya ngak masuk sementara di email langsung masuk. sulittttt,2
EMKA art_Official,"oh berarti tidak punya saya saja yang lama otp nya, tulisan masih offline terus lah kapan online nya si CS NYA APLIKASI PEMERINTAH KOK LEMOT BANGET TERUS ONLINE NYA JAM BERAPA BENER BENER NYUSAHIN AJA KERJAANNYA PEMERINTAH KONOHA INI",1
Zakiyah Pasaribu,JKN online sangat membantu saya,5
Bambang Puspito,"kebiasaan apk permerintah,ga guna kaya setengah² bikin nya. bukan nya mempermudah malah mempersulit rakyat. masalah otp nomor hp aja seharian ga keluar keluar no otp nya",1
Nata Lia,sangat membantu sekali,5
Aa Biasa,mohon di perbaiki database nya. antrian rumah sakit dan aplikasi tidak sesuai... alhasil percuma ada aplikasi,2
Andin Ramadhani,"kalau tkdak membantu hanya bisa menyulitkan, hapus aja dah, lu juga dpt jatah dari negara malah nyusahin orang aja,",1
Rista fatina,pelayanan cepat dan mudah,5
Bram Muladar,aplikasi msh sering eror 😡😡😡,1
Imron Roid,sangat membantu dalam kesehatan masyarakat,5
Firman Syah,aplikasi bagus.,5
Sandi Mahendra,aplikasi BUSUK,1
Asep Kusnadi,bisa ganti faskes respon cepat,5
Indera Pratama,ok,4
arif kurniawan,aplikasi mantap,5
Syfa Zahra,"tolong kalo buat aplikasi yg smart dikit, saya lupa kata sandi saya dan saya mencoba klik lupa sandi sehingga yg muncul ada dua opsi melalui SMS dan email, ketika sya ketik nomor saya yg terdaftar bilang nya nomor tersebut bukan nomor yg terdaftar hdeuhhhh, sy mencoba dengan email saya yg sudah jelas sekali terdaftar dari awal mereka bilang email saya belum terdaftar di sistem kacauuu sekali, aplikasi yg sangat tidak normalll",1
Tito,Antrian tidak real-time,3
Akal Sehat.,bagusss,5
Saleho,good,5
Salbiati Rus,aplikasi sederhana tapi lengkap untuk pelayanan dan lancar dalam penggunaan nya,5
Soniah Yayah,baik,5
Yosep Tonapa,aplikasi ini menghemat waktu dan lebih efisien,5
firdaus fino,mantapp,5
Nanang Agung,ok banget dan membantu,5
A.R. Bagas Danang Haditio,"harapan saya BPJS dapat sembuhkan mata kiri saya ternyata tindakan dari dokter hanya sekedar diagnosis, gitu membuat aturan harus satu dokter saja surat rujukan yang dpat diajukan, tapi udah diajukan null hasilnya hanya diberi kacamata",1
bagus ramdhani,banyak bug verifikasi,1
Muis Jazuli,baik,5
bang Jup,sangat membantu,5
mamad jufry,sulit untuk menerima kode oyp lewat sms,5
Achep Styawan,di prank apk buatan pemerintah nunggu kudu otp lama berjam2 alesan offline padahal sinyal aman !!! admin nya turu.,1
Filio Soumokil,"kenapa harus daftar dulu baru bisa ambil kode antrian?, KLO memang udah terdaftar di apk jangan keluar"" akun, nanti masuk di akunya minta kode OTP tidak pernah di kirim, ini mau priksa harus banget nyusahin warga? KLO memang gak becus jangan buat apk.",1
Firmansyah firman,mau daftar aja susah bener,2
Te Ja,pelayanan lewat aplikasi sangat praktis dan simpel,5
rialdo lubis,hapus,5
Senaya Nourin,mau antri faskes sering dibilang dokter tidak tersedia. pdhl dilihat kuota antrian dokter masih sedikit.,3
Nots Black,fungsi aplikasi bermasalah,2
aulianbasira ghaydafattana,akun sudah terdaftar tetapi ketika update aplikasi akun menjadi belum terdaftar.,1
Peuyeum Bandung,"saya kasih bintang 5, biar pelayanannya makin bagus",5
rizki priyo saputro,ok,5
Siswo Ibnu Grontong,aduh... tolong dong... masa dari siang sampai malam bolak-balik masuk gak bisa (gak terima OTP sms) kan capek min,1
Yuhaenu Eni,"mau daftar buat ke rs mau login gabisa bisa, NIK udah bener, PASSWORD udah bener tapi tetep aja gabisa login keterangan salah nik, coba daftar akun lagi, tapi keterangannya nik sudah terdaftar, aplikasi rusak, orang mau berobat gabisa, h",1
Sari Baim,"setiap kali membuka fitur untuk faskes tingkat pertama selalu gagal dan lemot pdahal jaringan ada wifi ada kuota juga ada,harus coba lagi terus",5
Zulfa Nur Fadillah,mudah untuk ganti faskes,5
siti fatimah,apk gk jelas,1
Syahdan Jambi,sangat membantu tentang infonya,5
Sipit Yes,mantap,5
Veder Yuy,sangat membantu,5
agung prasetyo,sangat mudah,5
Zainul Anwar,tak kasih bintang 5 supaya bpjs aku dan istri ku bisa aktif kembali ...tolong lah pak ...,5
MICHAEL RONALDO,mau daftar verifikasi SMS gak bisa nunggu SMS-nya gak masuk-masuk,1
dede sadiah,"mudah diaplikasikan sistemnya,lengkap, fitur komplit dan mudah dioperasikan",5
Win fridona Sepyanto,memudahkan akses kesehatan,5
Asep Sutiawan,semoga selalu sehat amiiin🤲,5
Fenrir awan,aplikasi ini menyulitkan pengguna tidak biasa verifikasi padahal nomor telfon ada tapi tulisannya nomor telfon kosong sangat menyulitkan dan berbelit belit ini aplikasi menyusahkan bukan mempermudah,1
Fitrah Kurniawan,sangat membantu dan mudah,5
Alyaa,aneh apk nya,1
encih 766,aplikasi ampas gak guna,1
Muh lisin,membantu sekali,5
Mauludiyah Suharto,Terima kasih sangat membantu,5
Tomy 038,apk yg sangat membantu dan mudah.tks,5
Bah Jenggot,sangat membantu dan mudah,5
danu maulid,goid,5
Anisa Carolina,agak kcwa dn ribet knp ank yg umur di atas setahun gk bisa saya masukin daftarin di apk ini,3
Sound Horeg,apk bosokk,1
rifal bugis,mantap Aplikasinya,4
Wa Runia,sangat membantu,5
Bani kalbin,mantap JKN terus memberikan pelayanan yg lebih baik,5
Hendra Gunawan,keren,5
Tegar Ahmad13,aplikasi bagus mudah d mengerti,4
Nurmayunita,"aplikasi mempersulit ini namanya bukan mempermudah.. harusnya satu akun yg terdaftar itu udah bisa cek info pelayanan semua anggota keluarga, ini malah ga bisaa.. aplikasi sangat sangatt burukk, tapi tetap dipergunakan mulai dari faskes pertama sampai faskes rujukan harus pake ini... payaahhhh... coba diperbaiki lagiii",1
MUGI SLAMET,sangat membantu,5
Nikmatul Azizah,sangat bagus sekali,5
Della Eka PM's Mine,"buset dah aplikasi bobrok banget, NIK betul dibilang salah padahal udah dieja puluhan kali sudah betul. Mana rujukan belum non aktif ngga kebaca di sistem (rujukan non aktif bulan juli). MAINTENANCE APLIKASI GA ADA ANGGARAN KAH BPJS? YOU WASTING 2 JAM MY TIME CUMA BUAT PERKARA SEPELE BEGINI. ANJIR LAH. SHAME ON YOU, SUKA BANGET MEMPERSULIT ORANG LAIN HERAN",1
Lilik Lilik,mantab,5
jaja nur,"ribet dan aneh banget sih aplikasinya, mau apa² selalu gak jelas dan gak bisa",1
Dinar Handayani,bagus,5
Erna Erna,sangat membantu sekali,5
suci nurlita,"Huhu tolong di perbaiki lagii aplikasinya yaaa. Jujur ini tuh membantu bgtt tapi sayang masih banyak trouble nyaa, jaringan semua bagus tapi susah bgtt buat daftar, aku tau sebenarnya di buat nya aplikasi ini tuh untuk mempermudah tapii i think seperti yg aku bilang ini emg harus di perbaiki lagii biar makin baguss. Aku kasih bintang 5 biar kebaca yaa sama yg buat aplikasinya. Tolong bgtt yaa segera ada update untuk aplikasi ini terimakasih.",5
Hasan Ali,udah ganti nomor hp isi pulsa buang buang uang ujung ujung nya udah bisa malah verifikasi gagal terus gimana dah capek aku,1
Debora Bili,"Terima kasih JKN, apk mudah digunakan",5
pande komang,top,5
Wien Naver,susah dapat verifikasi nomer hp,1
Arvino RAZ,Nyusahin ga guna.,1
Muhammad Nurrul Hafizh Pujadi,"Dana 30T buat aplikasi yang bahkan ga bisa masukin no hp padahal sinyal udah dobel, kuota+wifi ga bisa nembus sistem otp nya Apa apaan ini aplikasi",1
bocil kematian,KENAPA YA PADAHAL SUDAH KUMASUKAN PASWORD DENGAN BENAR TAPI KENAPA SALAH TRUS HERAN LUPA KATA SANDI TAPI KODE OTP GA PERNAH MASUK,1
Wildan Taufiqurrachman,Verifikasi wajah gagal terus,1
Des mawarni,bagus,5
Reza Purnomo,"ga bisa daftar kalau aplikasi buatan pemerintah ga ada yang benar semua mau daftar sudah masukin Nik, nama , tgl.lahir dan di surah masukan kode refferal tapi kodenya ga ada",1
Basori Imam,Dah lumayan.. thank s,3
mang armi,kenapa sering logout sendiri padahal gak pernah logout,4
Penditamba,sangat membantu terima kasih,5
Umar S.u.R,"sangat membantu,terima kasih",5
muhammad Haikalafwan,"Aplikasi sekelas pemerintah ini JELEK banget Pliss lah gak tau ini anggaran aplikasinya seberapa besar, team IT yang dibayar 10 juta aja bisa bikin aplikasi yang lebih bagus daripada ini... Mau ganti password kode verifikasinya ditungguin 5 menit gak muncul-muncul Ini cuma kode Verifikasi OTP doang, bukan AI kayak Gemini atau OpenAI, CUMA OTP bisa gak becus kayak gini ASUUUUUUU.........",1
NOTHING 12,banyak gangguan,1
Tampan Tv,Tiap bulan up date.. Tetep gini aja😅,1
Aplikasi Semua,Good Job,5
